Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
347	0.302594	345	0.078261	43	0.511628	265	0.343396	11.993559	158	0.303797	1.335708	189	0.301587	43.215229	265	0.343396	0.245000	0.246375	
331	0.308157	357	0.042017	22	0.318182	290	0.358621	11.993559	172	0.302326	1.335708	159	0.314465	43.215229	290	0.358621	0.228000	0.246203	
309	0.313916	355	0.073239	43	0.581395	293	0.279863	11.993559	167	0.299401	1.335708	142	0.330986	43.215229	293	0.279863	0.230000	0.246053	
341	0.275660	333	0.063063	47	0.680851	279	0.211470	11.993559	166	0.234940	1.335708	175	0.314286	43.215229	279	0.211470	0.206000	0.245686	
337	0.311573	348	0.068966	29	0.517241	286	0.206294	11.993559	171	0.321637	1.335708	166	0.301205	43.215229	286	0.206294	0.203000	0.245298	
376	0.305851	345	0.052174	33	0.545455	246	0.280488	11.993559	172	0.232558	1.335708	204	0.367647	43.215229	246	0.280488	0.220000	0.245070	
345	0.321739	343	0.069971	35	0.542857	277	0.310469	11.993559	161	0.291925	1.335708	184	0.347826	43.215229	277	0.310469	0.240000	0.245025	
365	0.298630	348	0.063218	28	0.500000	259	0.293436	11.993559	182	0.285714	1.335708	183	0.311475	43.215229	259	0.293436	0.221000	0.244812	
379	0.300792	320	0.046875	33	0.545455	268	0.264925	11.993559	193	0.259067	1.335708	186	0.344086	43.215229	268	0.264925	0.218000	0.244577	
345	0.298551	386	0.067358	28	0.642857	241	0.224066	11.993559	202	0.277228	1.335708	143	0.328671	43.215229	241	0.224066	0.201000	0.244198	
323	0.256966	313	0.070288	57	0.561404	307	0.289902	11.993559	164	0.225610	1.335708	159	0.289308	43.215229	307	0.289902	0.226000	0.244041	
342	0.312865	348	0.066092	36	0.388889	274	0.357664	11.993559	142	0.288732	1.335708	200	0.330000	43.215229	274	0.357664	0.242000	0.244024	
324	0.333333	357	0.056022	38	0.421053	281	0.270463	11.993559	149	0.275168	1.335708	175	0.382857	43.215229	281	0.270463	0.220000	0.243820	
334	0.263473	385	0.064935	34	0.529412	247	0.307692	11.993559	173	0.254335	1.335708	161	0.273292	43.215229	247	0.307692	0.207000	0.243511	
355	0.354930	334	0.041916	43	0.511628	268	0.272388	11.993559	184	0.342391	1.335708	171	0.368421	43.215229	268	0.272388	0.235000	0.243440	
