Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
330	0.224242	364	0.065934	32	0.437500	274	0.346715	10.836062	167	0.233533	2.299558	163	0.214724	42.495927	274	0.346715	0.207000	0.245555	
312	0.278846	357	0.053221	44	0.659091	287	0.313589	10.836062	175	0.325714	2.299558	137	0.218978	42.495927	287	0.313589	0.225000	0.245360	
332	0.265060	348	0.057471	34	0.529412	286	0.297203	10.836062	172	0.337209	2.299558	160	0.187500	42.495927	286	0.297203	0.211000	0.245035	
346	0.260116	328	0.070122	32	0.562500	294	0.346939	10.836062	174	0.310345	1.763249	172	0.209302	42.495927	294	0.346939	0.233000	0.244923	
335	0.334328	345	0.066667	34	0.558824	286	0.244755	10.836062	178	0.365169	1.763249	157	0.299363	42.495927	286	0.244755	0.224000	0.244729	
342	0.295322	329	0.051672	44	0.522727	285	0.249123	10.836062	181	0.386740	1.763249	161	0.192547	42.495927	285	0.249123	0.212000	0.244429	
347	0.397695	331	0.075529	26	0.461538	296	0.364865	10.836062	185	0.400000	1.013673	162	0.395062	42.495927	296	0.364865	0.283000	0.244780	
328	0.326220	358	0.061453	42	0.619048	272	0.367647	10.836062	165	0.284848	1.013673	163	0.368098	42.495927	272	0.367647	0.255000	0.244872	
341	0.401760	338	0.082840	32	0.687500	289	0.280277	10.836062	178	0.337079	1.013673	163	0.472393	42.495927	289	0.280277	0.268000	0.245078	
344	0.334302	337	0.059347	23	0.565217	296	0.226351	10.836062	187	0.374332	1.994666	157	0.286624	42.495927	296	0.226351	0.215000	0.244812	
327	0.266055	359	0.055710	33	0.393939	281	0.241993	10.836062	165	0.303030	1.994666	162	0.228395	42.495927	281	0.241993	0.188000	0.244314	
303	0.303630	370	0.062162	37	0.459459	290	0.341379	10.836062	150	0.293333	1.994666	153	0.313725	42.495927	290	0.341379	0.231000	0.244198	
340	0.264706	346	0.072254	41	0.609756	273	0.293040	10.836062	171	0.309942	1.994666	169	0.218935	42.495927	273	0.293040	0.220000	0.243989	
379	0.266491	302	0.072848	38	0.526316	281	0.316726	10.836062	181	0.287293	1.994666	198	0.247475	42.495927	281	0.316726	0.232000	0.243887	
324	0.280864	360	0.083333	23	0.521739	293	0.334471	10.836062	178	0.320225	1.994666	146	0.232877	42.495927	293	0.334471	0.231000	0.243778	
334	0.293413	335	0.077612	38	0.578947	293	0.276451	10.836062	176	0.335227	1.994666	158	0.246835	42.495927	293	0.276451	0.227000	0.243637	
361	0.279778	345	0.057971	31	0.451613	263	0.319392	10.836062	181	0.342541	1.994666	180	0.216667	42.495927	263	0.319392	0.219000	0.243431	
324	0.333333	343	0.087464	45	0.377778	288	0.329861	10.836062	162	0.401235	1.994666	162	0.265432	42.495927	288	0.329861	0.250000	0.243486	
349	0.169054	334	0.050898	31	0.548387	286	0.339161	20.838992	197	0.131980	1.994666	152	0.217105	42.495927	286	0.339161	0.190000	0.243047	
361	0.174515	344	0.058140	25	0.320000	270	0.351852	17.680319	174	0.206897	1.994666	187	0.144385	42.495927	270	0.351852	0.186000	0.242583	
353	0.300283	319	0.103448	40	0.525000	288	0.267361	17.680319	185	0.216216	1.493177	168	0.392857	42.495927	288	0.267361	0.237000	0.242538	
349	0.275072	323	0.083591	31	0.645161	297	0.326599	17.680319	160	0.187500	1.493177	189	0.349206	42.495927	297	0.326599	0.240000	0.242518	
356	0.233146	342	0.093567	35	0.457143	267	0.288390	14.401791	181	0.193370	1.493177	175	0.274286	42.495927	267	0.288390	0.208000	0.242244	
339	0.280236	340	0.102941	35	0.571429	286	0.356643	12.640548	146	0.260274	1.493177	193	0.295337	42.495927	286	0.356643	0.252000	0.242321	
330	0.321212	364	0.079670	38	0.315789	268	0.369403	12.640548	158	0.272152	1.493177	172	0.366279	42.495927	268	0.369403	0.246000	0.242350	
345	0.336232	355	0.033803	38	0.526316	262	0.217557	12.640548	167	0.299401	1.493177	178	0.370787	42.495927	262	0.217557	0.205000	0.242060	
345	0.315942	317	0.053628	42	0.523810	296	0.246622	12.640548	159	0.245283	1.493177	186	0.376344	42.495927	296	0.246622	0.221000	0.241898	
347	0.317003	337	0.059347	33	0.606061	283	0.236749	12.640548	180	0.266667	1.493177	167	0.371257	42.495927	283	0.236749	0.217000	0.241708	
